============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.11-s087_1
  Generated on:           Feb 09 2023  08:25:14 pm
  Module:                 picorv32
  Technology libraries:   fast_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                              Module           Cell Count  Cell Area  Net Area   Total Area 
  mux_is_lb_lh_lw_lbu_lhu_902_13                 mux_1512                           1      5.341     0.000        5.341 
  mux_is_sb_sh_sw_891_23                         bmux                               1      5.341     0.000        5.341 
  mux_is_sb_sh_sw_984_13                         mux_1512                           1      5.341     0.000        5.341 
  mux_is_sb_sh_sw_902_13                         mux_1512                           1      5.341     0.000        5.341 
  mux_instr_addi_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_instr_slti_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_instr_sltiu_1133_7                         bmux                               1      5.341     0.000        5.341 
  mux_instr_xori_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_instr_ori_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_andi_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_is_alu_reg_imm_891_23                      bmux                               1      5.341     0.000        5.341 
  mux_is_alu_reg_imm_984_13                      mux_1512                           1      5.341     0.000        5.341 
  mux_is_alu_reg_imm_902_13                      mux_1512                           1      5.341     0.000        5.341 
  mux_instr_add_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_sub_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_sll_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_slt_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_sltu_1133_7                          bmux                               1      5.341     0.000        5.341 
  mux_instr_xor_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_srl_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_sra_1133_7                           bmux                               1      5.341     0.000        5.341 
  mux_instr_or_1133_7                            bmux                               1      5.341     0.000        5.341 
